id,name,description
37,Инвестиции в акции и облигации,"Фондовый рынок для начинающих инвесторов. Типы ценных бумаг, фундаментальный анализ, диверсификация, стратегии инвестирования, риски."
38,Хинди: введение в язык,"Основы языка хинди. Алфавит деванагари, базовая грамматика, повседневная лексика, культура Индии, болливудское кино."
39,Видеомонтаж и создание контента,"Создание видео для YouTube и социальных сетей. Adobe Premiere Pro, монтаж, цветокоррекция, звук, сторителлинг, форматы контента."
40,Норвежский язык: базовый уровень,"Введение в норвежский язык. Два варианта письменности, произношение, грамматические основы, культура Норвегии."
41,Product Management: создание продуктов,"Профессия продуктового менеджера. Исследование рынка, определение MVP, работа с командой, метрики, приоритизация, роадмап."
42,Финский язык для начинающих,"Основы финского языка. Сложная грамматика, падежи, произношение, базовая лексика, финская культура и сауна."
43,Креативное письмо и сторителлинг,"Искусство создания историй. Сюжет, персонажи, диалоги, стили повествования, жанры, редактура, публикация произведений."
44,Вьетнамский язык: основы,"Введение во вьетнамский язык. Тональная система, алфавит, базовая грамматика, повседневные фразы, вьетнамская культура."
45,SEO-продвижение сайтов,"Поисковая оптимизация от А до Я. Техническое SEO, контент-оптимизация, линкбилдинг, локальное SEO, аналитика, инструменты."
46,Венгерский язык: базовый курс,"Основы венгерского языка. Агглютинативная структура, падежи, произношение, базовая лексика, культура Венгрии."
47,Графический дизайн в Adobe Illustrator,"Векторная графика для дизайнеров. Инструменты Illustrator, логотипы, иллюстрации, типографика, паттерны, подготовка к печати."
48,Индонезийский язык для начинающих,"Простой азиатский язык для изучения. Латинский алфавит, базовая грамматика, повседневная лексика, культура Индонезии."
49,Управление стрессом и психологическое здоровье,"Техники управления стрессом. Майндфулнес, дыхательные практики, когнитивные техники, работа с тревогой, баланс и восстановление."
50,Румынский язык: основы,"Романский язык восточной Европы. Латинский алфавит, базовая грамматика, лексика, особенности произношения, румынская культура."
51,E-commerce: создание интернет-магазина,"Запуск онлайн-торговли. Выбор ниши, платформы, логистика, маркетинг, работа с клиентами, масштабирование продаж."
52,Тайский язык: разговорный курс,"Практический тайский для путешествий. Тональная система, алфавит, разговорные фразы, культура Таиланда, этикет."
53,Лидерство и управление командой,"Развитие лидерских качеств. Стили лидерства, мотивация команды, делегирование, обратная связь, развитие сотрудников."
54,Датский язык для начинающих,"Основы датского языка. Особое произношение, грамматика, базовая лексика, скандинавская культура, hygge."
55,3D-моделирование в Blender,"Создание трехмерной графики. Интерфейс Blender, моделирование, текстурирование, освещение, рендеринг, анимация."
56,Персидский язык (фарси): основы,"Введение в персидский язык. Арабская вязь, направление письма, базовая грамматика, лексика, персидская культура и поэзия."
57,Agile и Scrum: гибкие методологии,"Современное управление проектами. Принципы Agile, фреймворк Scrum, спринты, ретроспективы, Kanban, масштабирование."
58,Болгарский язык: разговорная практика,"Практический болгарский. Кириллица, славянская грамматика, разговорные фразы, культура Болгарии."
59,Кулинария: основы и техники,"Базовые кулинарные навыки. Работа с ножом, термическая обработка, соусы, выпечка, сервировка, кухни мира."
60,Малайский язык для начинающих,"Основы малайского языка. Латинский алфавит, простая грамматика, базовая лексика, культура Малайзии."
61,Excel для бизнес-аналитики,"Продвинутая работа с Excel. Сводные таблицы, формулы, Power Query, макросы VBA, визуализация данных, автоматизация."
62,Словацкий язык: основы,"Введение в словацкий язык. Славянская грамматика, произношение, базовая лексика, культура Словакии."
63,Йога и медитация для начинающих,"Практика йоги и осознанности. Базовые асаны, дыхательные техники, медитация, философия йоги, здоровье и гибкость."
64,Эстонский язык для начинающих,"Основы эстонского языка. Финно-угорская группа, сложная грамматика, произношение, базовая лексика, эстонская культура."
65,Нейромаркетинг и психология продаж,"Психологические триггеры в маркетинге. Принятие решений, поведенческая экономика, нейробиология покупок, практическое применение."
66,Литовский язык: базовый курс,"Введение в литовский язык. Балтийская группа, архаичная грамматика, базовая лексика, культура Литвы."
67,Музыкальная теория и сольфеджио,"Основы музыкальной грамоты. Нотация, интервалы, аккорды, ритм, гармония, развитие слуха, чтение с листа."
68,Латышский язык для начинающих,"Основы латышского языка. Балтийская группа, грамматические особенности, произношение, базовая лексика, латышская культура."
69,Блокчейн и криптовалюты,"Технология распределенного реестра. Принципы блокчейна, Bitcoin, Ethereum, смарт-контракты, DeFi, NFT, инвестиции."
70,Словенский язык: разговорная практика,"Практический словенский. Славянская грамматика, двойственное число, произношение, культура Словении."
71,Иллюстрация: от эскиза до арта,"Создание иллюстраций. Композиция, перспектива, цвет, свет и тень, стили, цифровая иллюстрация, портфолио."
72,Сербский язык: основы,"Введение в сербский язык. Кириллица и латиница, славянская грамматика, базовая лексика, культура Сербии."
73,Продажи B2B: стратегии и техники,"Корпоративные продажи. Работа с ЛПР, длинный цикл сделки, презентации, работа с возражениями, CRM, KPI."
74,Хорватский язык для начинающих,"Основы хорватского языка. Латинский алфавит, славянская грамматика, базовая лексика, адриатическая культура."
75,Астрология: введение в науку о звездах,"Основы западной астрологии. Знаки зодиака, планеты, дома, аспекты, натальная карта, транзиты, интерпретация."
76,Албанский язык: базовый курс,"Введение в албанский язык. Латинский алфавит, особая грамматика, произношение, базовая лексика, культура Албании."
77,Право для предпринимателей,"Юридические основы бизнеса. Регистрация компаний, договоры, интеллектуальная собственность, трудовое право, налоги, споры."
78,Каталанский язык: основы,"Романский язык Каталонии. Произношение, базовая грамматика, лексика, каталонская культура и идентичность."
79,Нутрициология и здоровое питание,"Наука о питании. Макро- и микронутриенты, метаболизм, составление рациона, мифы о еде, персонализация питания."
80,Баскский язык для начинающих,"Уникальный изолированный язык Европы. Эускара, сложная грамматика, базовая лексика, баскская культура."
81,Архитектура и дизайн интерьера,"Основы проектирования пространств. Планировка, стили, материалы, освещение, цвет, эргономика, 3D-визуализация."
82,Ирландский язык (гэльский): введение,"Кельтский язык Ирландии. Особая орфография, грамматика, базовая лексика, ирландская культура и мифология."
83,Переговоры и искусство убеждения,"Эффективные переговоры. Подготовка, стратегии, тактики, работа с конфликтами, win-win подход, манипуляции и защита."
84,Валлийский язык: основы,"Кельтский язык Уэльса. Мутации согласных, грамматика, произношение, базовая лексика, валлийская культура."
85,Создание подкастов: от идеи до эфира,"Производство аудиоконтента. Концепция, оборудование, запись, монтаж, продвижение, монетизация, работа с гостями."
86,Латынь: классический язык,"Основы латинского языка. Грамматика, склонения, спряжения, чтение текстов, влияние на современные языки."
87,Кросс-культурная коммуникация,"Работа в международной среде. Культурные различия, стили коммуникации, деловой этикет, адаптация, конфликты."
88,Эсперанто: международный язык,"Искусственный язык для международного общения. Простая грамматика, логичная структура, базовая лексика."
89,Гейм-дизайн: создание игр,"Проектирование игровых механик. Геймплей, баланс, нарратив, монетизация, прототипирование, тестирование."
90,Санскрит: древний язык Индии,"Классический язык индийской культуры. Деванагари, грамматика, чтение мантр, связь с индуизмом и буддизмом."
91,Бренд-менеджмент и позиционирование,"Создание и управление брендом. Идентичность, ценности, позиционирование, архитектура бренда, коммуникации, защита."
92,Киносъемка и режиссура,"Искусство создания фильмов. Сценарий, раскадровка, работа с актерами, операторское мастерство, монтаж, звук."
93,Экологичный образ жизни,"Осознанное потребление и экология. Zero waste, устойчивое развитие, энергоэффективность, ответственный выбор."
94,Стратегическое планирование в бизнесе,"Разработка стратегии компании. Анализ рынка, конкурентов, SWOT, стратегические цели, реализация, контроль."
95,Кинетическая типографика и моушн-дизайн,"Анимация текста и графики. After Effects, принципы движения, тайминг, композиция, создание роликов для соцсетей."
96,Винология и сомелье,"Искусство вина. Виноградарство, производство, регионы, дегустация, сочетание с едой, сервировка, винная карта."
97,Бизнес-аналитика и Power BI,"Визуализация бизнес-данных. Power BI, создание отчетов, дашборды, DAX, интеграция с источниками данных."
98,История искусств: от античности до современности,"Путешествие через эпохи искусства. Живопись, скульптура, архитектура, основные течения, великие мастера, анализ произведений."
99,Краудфандинг и альтернативное финансирование,"Привлечение инвестиций через платформы. Kickstarter, подготовка кампании, маркетинг, работа с сообществом, выполнение обязательств."
100,Философия: введение в основные течения,"Великие философские идеи. Античная философия, экзистенциализм, рационализм, этика, эпистемология, современная философия."
